la Torre de Claramunt;54,9328348615;1;0;0;54,9328348615
la Torre de Fontaubella;660,3823867958;7;0;0;660,3823867958
la Torre de l'Espanyol;883,6296755152;7;0;0;883,6296755152
la Vajol;0;0;0;0;0
la Vall de Bianya;3993,8057651171;33;0;0;3993,8057651171
la Vall de Boí;5295,3464712192;69;530,0358861973;9;5825,3823574166
la Vall d'en Bas;7794,3003341914;65;416,9068682436;2;8211,207202435
la Vansa i Fórnols;2525,909295951;30;763,0972422665;8;3289,0065382174
la Vilella Alta;2305,3166673104;21;0;0;2305,3166673104
la Vilella Baixa;1339,0841390662;11;0;0;1339,0841390662
Les;2895,935812915;43;185,3648506918;2;3081,3006636067
les Avellanes i Santa Linya;1194,1323560445;22;346,1761966516;8;1540,3085526961
les Borges Blanques;4139,8731141923;28;0;0;4139,8731141923
les Borges del Camp;1621,0961666234;12;0;0;1621,0961666234
les Cabanyes;0;0;0;0;0
l'Escala;1646,9244559588;31;0;0;1646,9244559588
les Franqueses del Vallès;9354,4231304005;70;0;0;9354,4231304005
les Llosses;360,9301029962;4;0;0;360,9301029962
les Masies de Roda;2743,8113818059;12;0;0;2743,8113818059
les Masies de Voltregà;71,2774832224;3;0;0;71,2774832224
les Oluges;1542,3499703742;28;269,2758298533;1;1811,6258002275
les Piles;619,0332301583;12;0;0;619,0332301583
les Planes d'Hostoles;6,6895214024;1;1209,6745823847;1;1216,3641037871
l'Espluga Calba;869,9118029793;16;0;0;869,9118029793
l'Espluga de Francolí;2398,690046966;30;0;0;2398,690046966
les Preses;3358,7820154331;31;0;0;3358,7820154331
l'Espunyola;0;0;0;0;0
l'Esquirol;4507,4767109566;42;0;0;4507,4767109566
l'Estany;1583,4929478673;12;218,7948765961;2;1802,2878244634
les Valls d'Aguilar;1670,899947491;16;2268,6894957819;23;3939,589443273
les Valls de Valira;4798,4396574288;42;2283,7880083839;24;7082,2276658127
l'Hospitalet de Llobregat;1162,4658765872;12;0;0;1162,4658765872
Linyola;2079,4127894803;36;0;0;2079,4127894803
Lladó;46,3288160466;1;0;0;46,3288160466
Lladorre;4,3374131999;1;0;0;4,3374131999
Lladurs;1396,4973671207;5;0;0;1396,4973671207
Llagostera;5320,6818115066;41;0;0;5320,6818115066
Llambilles;746,7005054022;12;0;0;746,7005054022
Llanars;2218,8118637352;20;0;0;2218,8118637352
Llançà;182,3399978983;3;0;0;182,3399978983
Llardecans;3102,4062903473;22;0;0;3102,4062903473
Llavorsí;1613,5621629801;14;401,6575114452;7;2015,2196744253
Lleida;3936,0183656513;37;0;0;3936,0183656513
Llers;284,6994903387;5;0;0;284,6994903387
Lles de Cerdanya;771,047233626;12;0;0;771,047233626
Lliçà d'Amunt;1428,121580628;21;0;0;1428,121580628
Lliçà de Vall;9344,7055712802;51;0;0;9344,7055712802
Llimiana;0;0;1202,9739811991;17;1202,9739811991
Llinars del Vallès;12114,10733431;52;93,7261697945;1;12207,8335041045
Llobera;474,1733698789;1;0;0;474,1733698789
Llorac;1570,1013091822;28;0;0;1570,1013091822
Llorenç del Penedès;74,0055646697;1;0;0;74,0055646697
Lloret de Mar;21992,4274286337;206;0;0;21992,4274286337
Lluçà;414,6278020661;3;0;0;414,6278020661
Maçanet de Cabrenys;20,6314898429;2;0;0;20,6314898429
Maçanet de la Selva;8282,1427646524;51;0;0;8282,1427646524
Madremanya;1194,8148649554;5;371,0496568736;6;1565,8645218289
Maià de Montcal;0;0;0;0;0
Maials;4782,9858831731;46;0;0;4782,9858831731
Maldà;850,4106493856;11;0;0;850,4106493856
Malgrat de Mar;1945,8938466144;24;255,0526033732;5;2200,9464499877
Malla;1106,3713634947;4;0;0;1106,3713634947
