Id;Poblacio;Total No Name(m);Total(Residential + Living street)
342210;Terrassa;43150,60696;374679,1238
343671;Tiana;9395,691824;27476,15548
347641;Tírvia;1290,639794;1699,793804
347642;Tiurana;590,8115076;863,5105711
341837;Tivenys;640,6445202;4508,404195
344616;Tivissa;5353,179824;8642,655224
343670;Tona;3401,331379;41954,08467
347643;Torà;2573,451284;9110,895072
343669;Tordera;55209,74741;103166,5803
343668;Torelló;4123,46813;48260,31858
347637;Tornabous;2689,050251;5606,279484
347638;Torrebesses;3323,738141;3323,738141
344615;Torredembarra;27694,08728;78228,80504
347635;Torrefarrera;16229,20243;23655,14465
341310;Torrefeta i Florejacs;3868,415989;9830,17081
343013;Torregrossa;12063,34872;12988,60741
343012;Torrelameu;1109,799971;3765,237382
346131;Torrelavit;7274,186372;10979,37775
346101;Torrelles de Foix;1192,850425;24550,12468
346099;Torrelles de Llobregat;10619,63449;46420,41795
346724;Torrent;5749,359576;5749,359576
343011;Torres de Segre;3696,791045;15184,71046
343010;Torre-serona;1912,073558;4861,276095
346723;Torroella de Fluvià;7621,317823;8195,935827
346722;Torroella de Montgrí;6189,965712;77512,99508
344612;Torroja del Priorat;3056,683009;3056,683009
343310;Tortellà;38,37121633;4723,1848
344613;Tortosa;44816,11952;97085,53482
343309;Toses;4904,804464;4904,804464
343308;Tossa de Mar;10891,23063;53492,38603
343014;Tremp;18694,62833;31942,67156
343314;Ullà;1082,871895;8104,969264
341894;Ullastrell;3930,785043;12402,09275
343313;Ullastret;2658,400284;4020,915019
344610;Ulldecona;3153,364223;33978,79613
344611;Ulldemolins;1294,256569;5729,211815
343307;Ultramort;2176,136453;3488,142405
343312;Urús;623,4091647;4875,73596
341895;Vacarisses;32678,34361;90195,50712
341314;Vall de Cardós;1407,194654;1407,194654
341896;Vallbona d'Anoia;2755,567804;9926,189994
343018;Vallbona de les Monges;798,8310469;3188,848213
341897;Vallcebre;1444,757131;1969,347261
344624;Vallclara;897,0477826;897,0477826
347882;Vallfogona de Balaguer;5477,110382;16742,72831
344631;Vallfogona de Ripollès;2695,470217;2695,470217
344625;Vallfogona de Riucorb;1419,98942;2197,835359
341898;Vallgorguina;32139,06577;36357,842
341899;Vallirana;27027,05895;109876,5626
343305;Vall-llobrega;62,17382262;15340,11046
340196;Vallmoll;11287,20805;12875,10145
341900;Vallromanes;5928,697033;31080,17851
340195;Valls;25089,94093;92194,73054
340194;Vandellòs i l'Hospitalet de l'Infant;23849,63514;48173,88573
341901;Veciana;2017,138831;2017,138831
347893;Ventalló;3401,57387;11281,02693
347880;Verdú;3063,478108;6560,355072
347894;Verges;202,9877708;6200,048302
340200;Vespella de Gaià;10122,03743;10387,13126
341903;Vic;23246,43609;119005,5842
347895;Vidrà;1016,795436;1839,819567
347896;Vidreres;11314,91578;88284,8553
347881;Vielha e Mijaran;11893,84293;20049,84909
340199;Vilabella;5676,928521;5676,928521
347889;Vilabertran;0;3296,136347
347890;Vilablareix;422,9141353;25517,1503
341904;Vilada;1857,698333;5111,993957
345022;Viladamat;1365,938824;5202,415072
347891;Viladasens;949,974694;1369,358333
344522;Viladecans;20465,36923;95217,52651
344521;Viladecavalls;7827,272457;52680,74836
347898;Vilademuls;5378,041519;5378,041519
342991;Viladrau;7202,426686;21015,22135
342990;Vilafant;1315,396901;31544,36399
344518;Vilafranca del Penedès;1087,832913;78121,62552
347884;Vilagrassa;1108,62297;5361,09466
342992;Vilajuïga;601,1135932;7838,076972
344919;Vilalba dels Arcs;2826,47885;4617,143974
344515;Vilalba Sasserra;3637,498177;3637,498177
347885;Vilaller;3425,872514;7165,612011
